AGENTID1,AGENTID2,CLIENTS
A16602,A23944,1
A16602,A24975,1
A16602,A26799,1
A16602,A28006,1
A16602,A30621,2
A16602,A4017,1
A16610,A19137,1
A16647,A636,1
A1665,A21916,1
A16673,A4605,1
A1671,A22026,1
A16749,A7927,1
A16750,A17278,1
A16783,A19296,1
A16783,A23623,1
A1680,A24050,1
A16884,A19003,1
A16884,A8556,1
A16895,A19389,4
A16895,A2214,1
A16895,A22564,1
A16895,A23130,1
A16895,A24042,1
A16895,A24492,1
A16895,A8687,2
A16898,A6510,1
A16909,A21249,1
A16912,A21543,1
A16934,A6098,1
A16986,A22807,1
A17016,A8555,1
A17037,A8556,1
A17058,A20761,1
A17074,A22910,1
A17075,A24523,1
A17081,A24597,1
A17086,A23623,1
A17110,A21242,1
A17123,A25393,1
A1713,A6830,1
A17136,A25562,1
A17149,A24492,1
A17182,A21105,1
A1722,A19254,1
A1722,A22047,1
A1722,A22056,1
A1722,A24084,1
A17238,A23867,1
A17242,A24421,1
A17260,A26327,1
A17278,A18133,1
A17278,A18344,1
A17278,A18865,1
A17278,A19441,1
A17278,A19537,1
A17278,A20728,2
A17278,A21122,1
A17278,A21311,1
A17278,A22803,1
A17278,A23146,1
A17278,A23278,1
A17278,A24095,2
A17278,A30292,2
A17278,A4938,2
A17278,A6464,2
A17278,A9869,1
A17297,A24593,1
A17321,A24274,1
A17341,A24828,1
A1736,A18356,1
A1736,A24095,2
A1736,A24828,1
A1736,A27247,1
A1736,A28210,1
A1736,A6510,2
A17390,A26571,1
A17393,A30292,1
A17439,A5173,1
A17445,A24427,3
A17445,A24555,1
A17445,A25272,2
A17445,A25957,1
A17445,A26644,1
A17445,A28788,1
A17445,A4254,1
A17445,A8464,3
A17450,A23634,1
A17490,A26981,1
A17491,A9192,1
A17492,A24095,2
A17504,A20414,1
A17504,A22224,1
A17545,A18865,1
A17676,A23022,2
A17700,A23944,9
A17700,A24141,1
A17700,A24975,1
A17700,A26799,3
A17700,A30621,8
A17700,A4833,3
A17718,A28097,1
A17746,A3432,1
A17769,A20539,1
A17822,A19064,1
A17822,A24004,1
A17848,A21113,1
A17848,A21380,1
A17895,A23790,1
A1791,A30,1
A17964,A8506,1
A17998,A3713,1
A17999,A28210,1
A18023,A20515,1
A18023,A24924,1
A1803,A7862,1
A18030,A18356,1
A18030,A19492,1
A18030,A23623,1
A18030,A30439,1
A18030,A651,1
A18107,A25187,1
A18122,A20508,1
A18156,A22807,1
A18156,A27166,1
A18156,A9060,1
A18195,A19829,1
A18195,A3558,1
A18199,A20148,1
A18219,A21662,1
A18219,A22555,1
A18219,A4885,1
A18225,A19496,1
A18296,A25163,1
A18306,A25801,1
A18308,A19119,1
A18314,A19011,1
A18332,A8556,1
A18345,A24632,1
A18354,A18804,1
A18356,A18434,1
A18356,A18700,1
A18356,A19538,1
A18356,A19792,1
A18356,A20675,1
A18356,A21122,1
A18356,A23052,2
A18356,A23278,1
A18356,A24226,1
A18356,A24377,1
A18356,A24828,1
A18356,A25252,1
A18356,A25637,1
A18356,A29054,4
A18356,A29084,1
A18356,A4023,1
A18356,A6605,1
A18356,A8556,2
A18356,A8940,1
A18356,A9686,1
A18408,A19496,2
A18408,A20932,2
A18408,A22346,1
A18408,A6060,1
A18434,A24095,1
A18434,A25997,1
A18434,A26131,1
A18434,A2833,1
A18434,A29054,1
A18434,A30292,2
A18434,A6605,1
A18434,A8556,2
A18434,A9922,1
A18449,A24095,1
A18449,A30292,1
A18466,A21911,1
A18499,A27133,1
A18509,A18683,1
A18533,A18865,1
A18547,A219,1
A18547,A23854,1
A18548,A23623,1
A18548,A773,1
A18572,A6006,1
A18574,A18703,1
A18574,A21388,1
A18574,A26127,1
A18579,A22543,1
A18580,A25506,1
A1859,A20239,1
A18603,A22780,1
A18606,A4856,1
A18623,A23623,1
A18623,A28210,1
A18639,A25333,1
A18690,A27635,1
A18698,A24095,1
A18700,A19711,1
A18700,A24095,1
A18700,A28210,1
A18700,A28476,1
A18700,A6464,4
A18700,A9326,1
A18713,A30292,1
A18731,A967,2
A18735,A20684,1
A18735,A23793,1
A18735,A23898,1
A18735,A24220,1
A18735,A25291,1
A18735,A27883,1
A18735,A5176,1
A18735,A7753,1
A18744,A22961,1
A18775,A20268,1
A18790,A21690,1
A18804,A19119,2
A18804,A20325,1
A18804,A21597,1
A18804,A21843,1
A18804,A4605,1
A18804,A6006,1
A18804,A8605,1
A18839,A3006,1
A18865,A19941,1
A18865,A20164,1
A18865,A8699,1
A18865,A9326,1
A18874,A25272,1
A18874,A26200,1
A18874,A8464,1
A18875,A24377,1
A18875,A26824,1
A18887,A25637,1
A18921,A4325,1
A18926,A21905,1
A18944,A6510,1
A18945,A8556,1
A19003,A6510,1
A19004,A24004,1
A19004,A24095,1
A19004,A29054,1
A19011,A23141,1
A19028,A6068,1
A19063,A23296,2
A19063,A23528,1
A19067,A27905,1
A19105,A19326,1
A19119,A19404,1
A19119,A21905,1
A19119,A28110,1
A19119,A30037,1
A19144,A23130,1
A19144,A25358,1
A19144,A27739,1
A19161,A24095,1
A19161,A6605,1
A19181,A21663,1
A19238,A2476,1
A19250,A30292,1
A19252,A8464,1
A19266,A25743,1
A19291,A23886,1
A19350,A25910,1
A19390,A610,1
A19396,A23273,1
A19416,A22848,1
A19417,A6510,1
A19441,A9869,1
A19496,A2908,1
A19521,A30292,1
A19534,A24828,1
A19536,A20930,1
A19536,A21572,1
A19536,A23100,1
A19536,A28210,2
A19536,A28861,1
A19536,A30292,1
A19536,A31249,1
A19536,A6510,3
A19537,A28861,1
A19537,A31249,2
A19537,A5028,1
A19538,A24095,1
A19552,A23016,1
A19552,A23153,1
A19574,A23623,1
A19599,A22589,1
A19612,A8404,1
A19633,A26117,1
A19643,A22543,1
A19680,A30292,1
A19683,A24518,1
A19710,A20053,1
A19710,A21118,1
A19730,A24095,1
A19730,A24828,1
A19730,A26818,1
A19731,A22909,1
A19731,A25957,1
A19731,A28788,1
A19731,A8464,2
A19797,A2,1
A19840,A23197,1
A19921,A24184,2
A19923,A22555,1
A19935,A6098,1
A19994,A5364,1
A2,A20336,1
A2,A21005,1
A20071,A24819,1
A20071,A26959,1
A20093,A24095,2
A20095,A22454,1
A20168,A6674,1
A20175,A6977,1
A20196,A8556,1
A20203,A24492,1
A20203,A426,1
A20221,A22811,1
A20230,A5147,1
A20230,A6569,1
A20239,A22721,1
